# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
3.894179595743656908e+00,9.272703096024274672e+00,7.445390299889527164e+00,1.911321212401650982e+00,2.736109059204309690e-01,5.852226557722937983e+00,-1.074617217852900541e+00
3.994030354608879119e+00,9.178875473880291125e+00,7.410598286400603030e+00,1.941309122338046755e+00,3.248800501684839803e-01,5.833862613529150920e+00,-1.314680787986897970e-01
4.093881113474100886e+00,9.087282855399287484e+00,7.373237022870740454e+00,1.975416692768224181e+00,3.528612781052524738e-01,5.831612008584245110e+00,-1.314680787987247967e-01
4.193731872339323097e+00,8.995811882399783244e+00,7.332151632190519130e+00,2.010334907471280630e+00,3.434929847870011321e-01,5.829360534723750042e+00,1.962457055522657257e-01
4.293582631204545308e+00,8.906678185437941764e+00,7.288384886658968220e+00,2.044025260355505580e+00,3.381403705383480007e-01,5.832721046736388359e+00,3.647318517722957232e-01
4.393433390069766631e+00,8.818304953039181271e+00,7.241219668118167974e+00,2.078114412437368053e+00,3.413626868464184616e-01,5.838961578346375525e+00,2.299610216057139112e-01
4.493284148934988842e+00,8.732278765972088408e+00,7.191477900841271698e+00,2.111900023923769076e+00,3.364089244975869697e-01,5.842892766296391649e+00,3.832253511440084082e-01
4.593134907800211053e+00,8.647438183011587398e+00,7.138557186005058064e+00,2.144889397522529606e+00,3.228006513160459057e-01,5.849438140770012673e+00,8.228035669530525675e-01
4.692985666665433264e+00,8.564641291748403162e+00,7.083131214877368187e+00,2.176236530256272950e+00,3.059298614749961787e-01,5.863466695037116594e+00,1.349149156173737207e+00
4.792836425530654587e+00,8.483370067190318053e+00,7.025061207033647115e+00,2.205842247781607313e+00,2.864401780933462094e-01,5.886396930036414510e+00,1.940992864623222847e+00
4.892687184395876798e+00,8.403974116646725889e+00,6.964832783987182196e+00,2.233350774368060954e+00,2.657768574122247318e-01,5.919230358662463054e+00,2.552451393359841170e+00
4.992537943261099009e+00,8.326091582623956100e+00,6.902437090304182732e+00,2.258733267093161245e+00,2.421269630273289175e-01,5.962131871746757739e+00,3.255690036526367237e+00
5.092388702126320332e+00,8.249899199828556462e+00,6.838321199539620920e+00,2.281442640562008961e+00,2.124854489827639470e-01,6.016409452294008808e+00,4.168693124281344531e+00
5.192239460991542543e+00,8.174850194412073279e+00,6.772404434192740297e+00,2.301001454014864667e+00,1.789386066808272280e-01,6.085201479123279356e+00,5.230810642061932469e+00
5.292090219856764755e+00,8.101186959132830268e+00,6.705324510048436437e+00,2.317626876374834666e+00,1.607623732029511698e-01,6.170435792203373460e+00,5.731899937842709569e+00
5.391940978721986966e+00,8.028315370722848954e+00,6.636790337380278793e+00,2.333300216083021628e+00,1.527219830961012159e-01,6.262503252116577102e+00,5.716307561535833415e+00
5.491791737587208289e+00,7.956772613251128945e+00,6.567415628169256614e+00,2.348259094953579762e+00,1.486214599020621308e-01,6.352991600704616992e+00,5.665058270405797458e+00
5.591642496452430500e+00,7.885994595880423397e+00,6.496714328491668411e+00,2.363003955667209333e+00,1.461374353770977241e-01,6.441414674840834742e+00,5.614917518108619277e+00
5.691493255317652711e+00,7.816526583316831811e+00,6.425266026491714300e+00,2.377454872794972474e+00,1.440409523930227809e-01,6.527873356886789935e+00,5.565832232730053342e+00
5.791344014182874922e+00,7.747848453167359928e+00,6.352566965716066605e+00,2.391772111865794859e+00,1.423022490811904628e-01,6.612460639418705100e+00,5.517753467033873704e+00
5.891194773048096245e+00,7.680396559642683307e+00,6.279101548594861804e+00,2.405890774111175023e+00,1.409259286260068633e-01,6.695262463092145566e+00,5.470635961603609765e+00
5.991045531913318456e+00,7.613862899176262466e+00,6.204557662187344391e+00,2.419915964550626075e+00,1.398316561735768737e-01,6.776358443454249425e+00,5.401550150696460051e+00
6.090896290778540667e+00,7.548415296528935947e+00,6.129135640332068036e+00,2.433838033048635996e+00,1.391636497145570250e-01,6.855489152304516054e+00,5.277938778913150664e+00
6.190747049643762878e+00,7.484064005227967442e+00,6.052861393752879238e+00,2.447712678167739409e+00,1.389250560282229985e-01,6.931936518895871480e+00,5.138648775624075071e+00
6.290597808508984201e+00,7.420634354163087920e+00,5.975526501334242901e+00,2.461606394298579747e+00,1.390619853095323433e-01,7.005564920945206886e+00,4.039308375245152405e+00
6.390448567374206412e+00,7.358513523269938794e+00,5.897605180097695410e+00,2.475496756231410522e+00,1.397291980812784273e-01,7.062902793801977275e+00,-5.219834851951558718e+00
6.490299326239428623e+00,7.297153648980009955e+00,5.818393998851536963e+00,2.489536879309111050e+00,1.406642470748525053e-01,6.988718547234448408e+00,-5.316730120769234347e+00
6.590150085104649946e+00,7.237327729414611888e+00,5.738879413305646437e+00,2.503620434288421404e+00,1.424103887035030325e-01,6.912338812440982139e+00,-5.378472952716670363e+00
6.690000843969872157e+00,7.178178138057221602e+00,5.657890516934994452e+00,2.517993744050031513e+00,1.442353783492960895e-01,6.834203585367379041e+00,-5.443283382308274021e+00
6.789851602835094369e+00,7.120687146342757678e+00,5.576741101054631500e+00,2.532480185869587341e+00,1.471476063700531134e-01,6.754206592440334056e+00,-5.462877376316348510e+00
6.889702361700316580e+00,7.064041200712089186e+00,5.494243242275644867e+00,2.547354739745449681e+00,1.501186466283219445e-01,6.672957499500411949e+00,-5.467490131154240984e+00
